timestamp,position,velocity,tau_fcomp,tau_imp,Goniometer,recording_flag
1746766078.9673054,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.9768493,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.9867837,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766078.9970882,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.0072432,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.0246992,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.0288823,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.0364418,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.046581,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.0569124,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.0691724,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.077138,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.0866199,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.0968573,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.1067028,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.1176066,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.1269286,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.136821,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.147465,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.1565773,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.1673195,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.1768534,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.1867263,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.197467,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.2075298,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.2166567,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.22645,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.2367096,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.2471051,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.258959,-0.0003662109375,-3.469446951953614e-18,0.0,0.0,0.0,0
1746766079.2672682,-0.000732421875,0.0091552734375,0.0,0.0,0.0,0
1746766079.2765572,-0.000732421875,-0.0396728515625,0.0,0.0,0.0,0
1746766079.2869198,-0.000732421875,0.0701904296875,0.0,0.0,0.0,0
1746766079.2972252,-0.000732421875,-0.0762939453125,0.0,0.0,0.0,0
1746766079.3099287,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.3185363,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.3277388,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.3364842,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.346883,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.3567128,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.3680484,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.376576,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.3874984,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.396619,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.4070728,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.4165823,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.4265308,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.4368274,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.4480503,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.4586284,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.4665847,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.476613,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.4868393,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.4969962,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.5068913,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.5167806,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.5274544,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.536593,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.547964,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.5564137,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.5672534,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.5766618,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.5870187,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.596709,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.608704,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.6188295,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.6277497,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.637259,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.6468513,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.6568387,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.6669095,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.6767025,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.6868336,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.6970577,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.7082598,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.7168775,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.728332,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.736661,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.746682,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.7569437,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.7674987,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.777921,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.7864938,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.7966454,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.8066537,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.8165822,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.8269742,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.8375986,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.8470674,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.8582466,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.8677962,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.876673,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.8868377,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.8967369,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.908141,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.919705,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.9272485,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.9372396,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.9466186,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.9569345,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.9678097,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.9767745,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.9875674,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766079.9976852,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.0065904,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.016791,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.026824,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.0370553,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.047474,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.0564413,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.0701914,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.0767872,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.0866315,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.096741,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.1068933,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.1170752,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.131858,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.1397955,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.1469562,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.1567385,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.1669962,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.176497,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.1867316,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.1975384,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2080996,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2176278,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2276495,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2370636,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2466788,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2566845,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2675967,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2793226,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2866335,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.2966497,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.30665,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.3168106,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.3270924,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.3372192,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.347959,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.3567257,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.366962,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.377114,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.3867018,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.397221,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.406992,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.4172778,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.4274623,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.439421,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.4476476,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.4574614,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.4681964,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.4767535,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.4867468,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.497144,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.5070655,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.5168357,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.5266416,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.5368347,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.5491712,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.558363,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.5682118,-0.000732421875,-6.938893903907228e-18,0.0,0.0,0.0,0
1746766080.5766706,-0.0010986328125,0.0091552734375,0.0,0.0,0.0,0
1746766080.5868263,-0.0010986328125,-0.0396728515625,0.0,0.0,0.0,0
1746766080.5977461,-0.0010986328125,0.0701904296875,0.0,0.0,0.0,0
1746766080.6067505,-0.0010986328125,-0.0762939453125,0.0,0.0,0.0,0
1746766080.617096,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.626881,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.6379762,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.6476626,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.6578865,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.6686697,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.6766093,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.687435,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.6983442,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.7070682,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.7168033,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.7265944,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.7369773,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.7463393,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.756449,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.7677608,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.7768593,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.787502,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.7973607,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.806753,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.81668,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.826922,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.8368492,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.8470922,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.857362,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.867029,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.8765438,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.8867807,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.8967757,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.9068859,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.9176226,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.9271402,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.9375095,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.9470685,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.9571147,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.9676514,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.9767346,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.9868746,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766080.997095,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.0076976,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.0174396,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.0275126,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.0367713,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.046856,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.0567427,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.0680697,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.0769658,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.087209,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.0969787,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1068852,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1169667,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1267064,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1368608,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1479328,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1569157,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1694956,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1783292,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1863794,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.1971204,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.2066598,-0.0010986328125,-1.0408340855860843e-17,0.0,0.0,0.0,0
1746766081.2172844,-0.00146484375,0.0091552734375,0.0,0.0,0.0,0
1746766081.2279925,-0.00146484375,-0.0396728515625,0.0,0.0,0.0,0
1746766081.2389739,-0.00146484375,0.0701904296875,0.0,0.0,0.0,0
1746766081.2475696,-0.00146484375,-0.0762939453125,0.0,0.0,0.0,0
1746766081.2565756,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.2671573,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.276557,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.2871852,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.2967494,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.3069115,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.317635,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.3287466,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.3368971,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.347065,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.3565624,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.3669038,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.3765335,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.3868272,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.397105,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.4076107,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.4168074,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.4285924,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.436682,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
1746766081.4467905,-0.00146484375,-1.3877787807814457e-17,0.0,0.0,0.0,0
