timestamp,goniometer,recording_flag
1746661243.5152082,126448.0,1
1746661243.5252316,126318.0,1
1746661243.5347455,127222.0,1
1746661243.544063,126691.0,1
1746661243.554579,126543.0,1
1746661243.5653963,126406.0,1
1746661243.5752757,125685.0,1
1746661243.584659,125257.0,1
1746661243.5954347,124293.0,1
1746661243.6053236,123530.0,1
1746661243.6145153,122271.0,1
1746661243.6244686,120987.0,1
1746661243.633768,119914.0,1
1746661243.6445973,118183.0,1
1746661243.6560562,116854.0,1
1746661243.6663485,115129.0,1
1746661243.674919,113804.0,1
1746661243.6854894,112235.0,1
1746661243.6948512,109979.0,1
1746661243.704094,108477.0,1
1746661243.7140198,105269.0,1
1746661243.7242959,102323.0,1
1746661243.7345934,98785.0,1
1746661243.7434764,96656.0,1
1746661243.7547557,92637.0,1
1746661243.765211,90376.0,1
1746661243.7738624,87425.0,1
1746661243.784206,83603.0,1
1746661243.7944317,79453.0,1
1746661243.8041933,77427.0,1
1746661243.8144085,73887.0,1
1746661243.8242419,71258.0,1
1746661243.8357403,67100.0,1
1746661243.844252,63397.0,1
1746661243.8568096,59315.0,1
1746661243.8646812,58006.0,1
1746661243.8752756,55465.0,1
1746661243.8864975,52310.0,1
1746661243.8939912,50360.0,1
1746661243.904516,46731.0,1
1746661243.915371,44317.0,1
1746661243.9260201,40828.0,1
1746661243.9338186,38958.0,1
1746661243.9457548,34447.0,1
1746661243.9541857,31710.0,1
1746661243.9658272,28191.0,1
1746661243.9743788,25649.0,1
1746661243.9848528,21679.0,1
1746661243.9947126,19384.0,1
1746661244.00514,16244.0,1
1746661244.0163941,13439.0,1
1746661244.02554,10004.0,1
1746661244.0344615,7345.0,1
1746661244.0454252,4225.0,1
1746661244.0540493,2411.0,1
1746661244.0642207,1369.0,1
1746661244.0746825,-1225.0,1
1746661244.0849085,-2922.0,1
1746661244.0941918,-4786.0,1
1746661244.1048694,-6279.0,1
1746661244.114164,-7848.0,1
1746661244.1244879,-8724.0,1
1746661244.1340194,-10270.0,1
1746661244.144973,-11756.0,1
1746661244.154388,-13113.0,1
1746661244.1649477,-13570.0,1
1746661244.1739054,-14112.0,1
1746661244.1836252,-14278.0,1
1746661244.1948566,-14656.0,1
1746661244.2044513,-15563.0,1
1746661244.2156446,-15420.0,1
1746661244.2247467,-16015.0,1
1746661244.2338617,-15562.0,1
1746661244.2437959,-15712.0,1
1746661244.2548847,-15278.0,1
1746661244.2646854,-14857.0,1
1746661244.2752562,-13951.0,1
1746661244.2846916,-13388.0,1
1746661244.2980976,-12498.0,1
1746661244.3047256,-11840.0,1
1746661244.3142529,-9986.0,1
1746661244.3239157,-8310.0,1
1746661244.33393,-5594.0,1
1746661244.3450072,-2970.0,1
1746661244.3549592,-1180.0,1
1746661244.3650084,963.0,1
1746661244.3740528,3720.0,1
1746661244.3858974,6448.0,1
1746661244.3953776,8533.0,1
1746661244.404043,10523.0,1
1746661244.4153044,14329.0,1
1746661244.424314,17918.0,1
1746661244.4340503,20835.0,1
1746661244.4435387,24975.0,1
1746661244.4544291,28733.0,1
1746661244.4639428,32989.0,1
1746661244.473815,37761.0,1
1746661244.485924,43135.0,1
1746661244.494319,45369.0,1
1746661244.5040925,49417.0,1
1746661244.5146356,52118.0,1
1746661244.5253017,55998.0,1
1746661244.5334356,59685.0,1
1746661244.5448933,64314.0,1
1746661244.5547204,67255.0,1
1746661244.5633845,69690.0,1
1746661244.5749197,73602.0,1
1746661244.584681,77295.0,1
1746661244.5939512,81276.0,1
1746661244.6036477,85297.0,1
1746661244.6151927,88502.0,1
1746661244.6239364,91517.0,1
1746661244.6345458,95821.0,1
1746661244.6443722,100027.0,1
1746661244.6544614,102393.0,1
1746661244.6639817,105128.0,1
1746661244.6743522,106923.0,1
1746661244.6851652,109409.0,1
1746661244.6944401,111980.0,1
1746661244.7050045,114397.0,1
1746661244.7165809,116890.0,1
1746661244.7246938,118767.0,1
1746661244.7345111,120186.0,1
1746661244.7438061,121830.0,1
1746661244.7548091,122971.0,1
1746661244.7639103,124856.0,1
1746661244.7744336,126543.0,1
1746661244.7848063,127796.0,1
1746661244.7939599,128697.0,1
1746661244.8044767,129409.0,1
1746661244.8136017,130266.0,1
1746661244.8240767,131296.0,1
1746661244.833559,131785.0,1
1746661244.8440707,131972.0,1
1746661244.85591,131733.0,1
1746661244.8636851,132027.0,1
1746661244.8738234,131613.0,1
1746661244.8859837,131701.0,1
1746661244.8941426,132058.0,1
1746661244.9039674,131745.0,1
1746661244.9140553,130880.0,1
1746661244.925313,130094.0,1
1746661244.9342809,128819.0,1
1746661244.9438865,128462.0,1
1746661244.9553485,127122.0,1
1746661244.9636316,126474.0,1
1746661244.974927,124652.0,1
1746661244.9869065,122781.0,1
1746661244.9943876,121140.0,1
1746661245.0037923,119197.0,1
1746661245.0140576,117426.0,1
1746661245.0237913,116163.0,1
1746661245.0344858,113675.0,1
1746661245.0443244,111782.0,1
1746661245.053953,109711.0,1
1746661245.0645301,107294.0,1
1746661245.0748174,103884.0,1
1746661245.08464,102018.0,1
1746661245.1003594,99220.0,1
1746661245.1055331,98029.0,1
1746661245.1147473,96022.0,1
1746661245.124213,92036.0,1
1746661245.1343157,89413.0,1
1746661245.1441646,84951.0,1
1746661245.1544664,81153.0,1
1746661245.1647453,77599.0,1
1746661245.1739557,76491.0,1
1746661245.184194,73048.0,1
1746661245.1945767,69034.0,1
1746661245.2047858,66262.0,1
1746661245.2142246,62276.0,1
1746661245.223903,59609.0,1
1746661245.234426,55599.0,1
1746661245.243917,52572.0,1
1746661245.2539775,48943.0,1
1746661245.2639797,44854.0,1
1746661245.2739716,42077.0,1
1746661245.283944,39524.0,1
1746661245.294646,35746.0,1
1746661245.3035204,33382.0,1
1746661245.3139691,29871.0,1
1746661245.3242857,24620.0,1
1746661245.3335278,23228.0,1
1746661245.3447173,20482.0,1
1746661245.3544686,17083.0,1
1746661245.3637004,14084.0,1
1746661245.373762,11321.0,1
1746661245.384518,8179.0,1
1746661245.3939855,7729.0,1
1746661245.4042487,5722.0,1
1746661245.4144676,3188.0,1
1746661245.4251242,144.0,1
1746661245.4342587,-2209.0,1
1746661245.4443233,-3187.0,1
1746661245.4545221,-4661.0,1
1746661245.4635615,-5360.0,1
1746661245.474242,-6497.0,1
1746661245.4850016,-7872.0,1
1746661245.49648,-9804.0,1
1746661245.5037415,-10740.0,1
1746661245.5145714,-11004.0,1
1746661245.524007,-11311.0,1
1746661245.5352435,-11739.0,1
1746661245.54408,-12406.0,1
1746661245.5538988,-12452.0,1
1746661245.5645065,-12900.0,1
1746661245.574109,-12447.0,1
1746661245.5846374,-12586.0,1
1746661245.5947382,-12718.0,1
1746661245.6041722,-12734.0,1
1746661245.613764,-12242.0,1
1746661245.6237948,-11538.0,1
1746661245.6343803,-10474.0,1
1746661245.644869,-9322.0,1
1746661245.6540816,-7989.0,1
1746661245.6638336,-6930.0,1
1746661245.6736207,-5507.0,1
1746661245.6852422,-4010.0,1
1746661245.6947045,-1871.0,1
1746661245.7039025,-358.0,1
1746661245.7148304,2169.0,1
1746661245.7240837,4591.0,1
1746661245.7346466,7297.0,1
1746661245.7443626,8781.0,1
1746661245.7535863,11308.0,1
